state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price,arrival_quantity
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-01,2515,3144,2768,140.99
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-02,2280,3109,2668,144.91
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-03,2535,3502,2976,144.58
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-04,2238,2822,2589,161.09
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-05,2387,2973,2698,118.08
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-06,2143,2725,2454,166.08
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-07,2625,3415,3031,127.26
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-08,2202,2667,2450,163.3
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-09,2236,2764,2471,155.88
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-10,2180,2992,2557,139.0
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-11,2352,3030,2688,129.01
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-12,2117,2636,2282,176.48
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-13,2258,2875,2634,152.91
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-14,2301,2872,2611,147.15
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-15,2032,2631,2329,185.89
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-16,2140,2946,2500,152.62
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-17,1956,2667,2300,181.35
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-18,2359,2790,2588,166.98
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-19,2050,2540,2231,172.86
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-20,1991,2517,2276,171.2
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-21,2430,2960,2638,170.46
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-22,2129,2645,2337,159.77
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-23,2047,2564,2295,196.02
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-24,2010,2586,2297,167.91
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-25,1962,2562,2222,183.57
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-26,1937,2428,2095,181.5
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-27,2182,2602,2386,170.9
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-28,2166,2767,2368,181.76
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-29,1740,2238,2004,192.69
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-30,1882,2492,2213,182.86
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-01-31,1620,2087,1885,203.77
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-02-01,1864,2399,2091,195.44
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-02-02,1989,2356,2146,183.41
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-02-03,1513,1862,1734,227.98
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-02-04,1896,2443,2220,215.33
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-02-05,1684,2196,1954,207.18
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-02-06,1934,2559,2225,189.26
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-02-07,2028,2542,2252,154.82
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-02-08,1537,2044,1801,211.38
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-02-09,1515,1830,1680,236.74
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-02-10,1641,1925,1774,246.47
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-02-11,1782,2250,1929,200.46
Maharashtra,Pune,Pune,Tomato,Hybrid,2024-02-12,1828,2259,1997,179.83
